title,country,city,link,protocol,ip,port,domain,as_organization,host
,CN,Beijing,https://s1252.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s1252.js.xd.com
,CN,Beijing,https://s866.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s866.ios.js.xd.com
,CN,,http://o69iay0p.vs.zf.xd.com,http,203.107.33.10,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",o69iay0p.vs.zf.xd.com
,CN,,https://s1.xxd.letv.zf.xd.com,https,203.107.33.10,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s1.xxd.letv.zf.xd.com
,CN,Beijing,http://s429.ios.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s429.ios.js.xd.com
,CN,Beijing,https://s1117.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s1117.ios.js.xd.com
,CN,Beijing,https://s748.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s748.js.xd.com
,CN,Beijing,https://s240.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s240.ios.js.xd.com
,CN,Beijing,https://s901.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s901.ios.js.xd.com
,CN,Beijing,http://s537.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s537.js.xd.com
,CN,Beijing,https://s343.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s343.ios.js.xd.com
,CN,Beijing,http://s901.ios.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s901.ios.js.xd.com
,CN,,https://gmtool-8666-tw-audit.llzj.xd.com,https,175.97.159.18,443,xd.com,"Tai-Fu Cloud Co., Ltd.",https://gmtool-8666-tw-audit.llzj.xd.com
,CN,Beijing,https://s1480.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s1480.ios.js.xd.com
,CN,Beijing,http://s408.ios.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s408.ios.js.xd.com
,CN,Beijing,http://s918.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s918.js.xd.com
,CN,Beijing,http://s465.ios.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s465.ios.js.xd.com
,CN,Beijing,http://s1249.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s1249.js.xd.com
,CN,Beijing,http://s689.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s689.js.xd.com
,CN,Beijing,http://s388.ios.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s388.ios.js.xd.com
,CN,Beijing,http://s473.ios.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s473.ios.js.xd.com
,CN,Beijing,https://s519.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s519.js.xd.com
,CN,Beijing,https://s569.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s569.js.xd.com
,CN,Beijing,http://s623.ios.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s623.ios.js.xd.com
,CN,Beijing,https://s37.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s37.ios.js.xd.com
,CN,Beijing,http://s765.ios.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s765.ios.js.xd.com
,CN,Beijing,http://s951.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s951.js.xd.com
,CN,Beijing,https://s798.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s798.js.xd.com
,CN,Beijing,http://s230.ios.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s230.ios.js.xd.com
,CN,,http://sxd.jinshan.zf.xd.com,http,203.107.33.10,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",sxd.jinshan.zf.xd.com
,CN,Beijing,https://s446.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s446.ios.js.xd.com
,CN,Beijing,https://s781.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s781.js.xd.com
,CN,,http://www.s3.sxd.2133.zf.xd.com,http,203.107.33.10,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",www.s3.sxd.2133.zf.xd.com
,CN,Beijing,http://s818.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s818.js.xd.com
,CN,Beijing,http://s108.ios.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s108.ios.js.xd.com
,CN,Beijing,https://s1668.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s1668.ios.js.xd.com
,CN,Beijing,https://s817.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s817.ios.js.xd.com
,CN,Beijing,http://s1066.ios.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s1066.ios.js.xd.com
,CN,Beijing,http://s1250.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s1250.js.xd.com
,CN,Beijing,https://s623.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s623.ios.js.xd.com
,CN,Beijing,http://s1234.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s1234.js.xd.com
,CN,Beijing,https://s539.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s539.ios.js.xd.com
,CN,Beijing,http://s670.ios.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s670.ios.js.xd.com
,CN,,https://www.sxd.1212wan.zf.xd.com,https,203.107.33.10,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://www.sxd.1212wan.zf.xd.com
,CN,Beijing,https://s363.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s363.js.xd.com
,CN,Beijing,http://s1678.ios.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s1678.ios.js.xd.com
,CN,Beijing,http://s474.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s474.js.xd.com
,CN,,http://www.sw.zf.xd.com,http,203.107.33.10,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",www.sw.zf.xd.com
,CN,Beijing,https://s537.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s537.js.xd.com
,CN,Beijing,https://s408.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s408.ios.js.xd.com
